RID,Location,Latitude,Longitude,Avgpassengersperday,Nooftrainspassing,Nooftrainsstopping,Noofplatforms,Nooftracks,Trainhaltingtime,Avgtrainspeed,Averageaccidentspermonth,population,PhysicalEnvironment,DateTime,admin_found,Label
222.73.28.96-10.42.0.211-80-41890-6,Zhangjiakou Shi Xuanhua Qu,40.5944,115.0243,8652,85,6,4,5,5,1.9,19,409745,Lineside,07-11-22 11:35,Evening,1
10.42.0.211-52.84.134.65-41286-443-6,Basuo,19.1,108.65,7854,95,74,5,6,8,1.8,17,408309,Road,07-11-22 11:36,Mid Night,0
10.42.0.151-23.44.160.219-49988-443-6,Ghulja,43.9,81.35,6895,42,80,8,4,3,1.5,36,403489,Other,07-11-22 11:39,Mid Night,1
169.47.5.236-10.42.0.42-5222-52140-6,Karamay,45.5928,84.8711,6800,20,42,7,5,9,1.8,95,391008,Footbridge,07-11-22 11:42,Evening,0
172.217.3.106-10.42.0.42-443-57430-6,Tieli,46.9804,128.045,7900,60,35,5,2,2,1.9,15,390000,Platform,07-11-22 11:46,Mid Night,1
10.42.0.42-88.212.201.196-42268-443-6,Baicheng,45.6148,122.832,4200,80,68,6,3,3,1.2,18,386861,Road,07-11-22 11:49,Mid Night,0
10.42.0.211-10.42.0.1-34165-53-17,Lianzhou,24.7868,112.3735,870,90,45,4,5,2,1.9,19,384700,Bride,07-11-22 11:50,Evening,1
180.149.138.210-10.42.0.211-80-38024-6,Shihezi,44.3,86.0333,6458,15,75,5,5,4,1.4,17,380130,Escalator,07-11-22 11:59,Mid Night,0
157.240.18.19-10.42.0.42-443-43259-6,Helixi,30.6267,118.9861,9852,75,42,2,4,5,1.6,12,376857,Stairs,07-11-22 12:00,Mid Night,1
207.253.122.41-10.42.0.42-80-51698-6,Huichang,34.9136,112.7852,7854,62,52,3,6,6,1.8,19,367113,Pedestrain,07-11-22 12:06,Evening,0
10.42.0.211-10.42.0.1-32883-53-17,Zalantun,48.0033,122.7365,9568,43,36,5,8,7,1.7,19,366323,Bride,07-11-22 12:07,Mid Night,1
10.42.0.211-23.21.51.186-50298-443-6,Sanya,18.2536,109.5019,7852,84,42,5,5,2,1.3,16,362689,Escalator,07-11-22 12:12,Mid Night,0
182.22.31.252-10.42.0.151-443-50778-6,Shuanghejiedao,30.3866,106.7756,7545,15,20,4,2,2,1.2,17,360000,Stairs,07-11-22 12:13,Evening,1
10.42.0.211-10.42.0.1-16734-53-17,Yongƒ??an,25.9733,117.3593,8562,19,30,6,2,3,1.6,12,357000,Pedestrain,07-11-22 12:23,Mid Night,1
180.149.153.187-10.42.0.211-80-59881-6,Licheng,24.4935,110.3902,7854,75,78,8,5,8,1.9,16,352472,Station,07-11-22 12:26,Mid Night,0
10.42.0.42-66.198.178.90-59288-80-6,Yakeshi,49.2842,120.7283,1250,80,53,5,3,10,1.8,14,352173,Road Vehicle Carriageway,07-11-22 12:32,Evening,1
10.42.0.211-65.55.223.31-60774-40015-17,Lianran,24.9211,102.4778,6005,26,68,2,4,5,1.5,18,341341,Road,07-11-22 12:34,Mid Night,0
10.42.0.211-72.21.206.121-37307-443-6,Tangdong,25.9755,113.2302,8952,85,42,2,8,6,1.8,39,337495,Station,07-11-22 12:38,Mid Night,0
10.42.0.211-10.42.0.1-14211-53-17,Baishan,41.9377,126.4179,9500,42,20,5,9,8,1.9,18,330000,Platform,07-11-22 12:39,Evening,1
10.42.0.211-64.71.142.96-49676-443-6,Bamiantong,44.9164,130.5212,7840,38,35,3,10,9,1.2,17,330000,Lineside,07-11-22 12:42,Mid Night,1
192.229.173.173-10.42.0.211-80-48506-6,Yunzhong,39.8143,113.0946,2256,64,85,4,3,2,1.9,96,326849,Road,07-11-22 12:43,Mid Night,0
10.42.0.211-14.29.93.254-48473-80-6,Hotan,37.1012,79.9327,4859,82,78,8,1,4,1.4,17,322300,Other,07-11-22 12:44,Evening,1
172.217.9.225-10.42.0.211-443-46373-6,Yakou,33.2937,113.5203,8526,65,57,9,8,5,1.6,24,313828,Footbridge,07-11-22 12:49,Mid Night,0
172.217.3.98-10.42.0.211-443-53869-6,Qianzhou,28.3185,109.7318,9562,75,12,10,9,8,1.8,18,301000,Platform,07-11-22 12:50,Morning,1
157.240.18.10-10.42.0.151-443-60605-6,Kumul,42.827,93.515,754,25,16,3,10,3,1.7,13,300848,Road,07-11-22 12:53,Evening,0
10.42.0.42-52.85.101.21-59337-443-6,Hongƒ??an,47.21,123.61,8652,68,75,1,7,9,1.3,19,289999,Bride,07-11-22 12:54,Mid Night,1
10.42.0.151-10.42.0.1-16912-53-17,Shaowu,27.3417,117.4869,754,42,42,8,5,2,1.2,17,278000,Escalator,07-11-22 12:56,Evening,0
10.42.0.151-10.42.0.1-14040-53-17,Linxia Chengguanzhen,35.6,103.2167,8652,8,35,9,3,3,1.6,13,274466,Stairs,07-11-22 13:00,Mid Night,0
10.42.0.211-101.69.121.110-52392-80-6,Dongta,38.0937,106.3321,5800,12,45,10,7,2,1.9,1,261677,Pedestrain,07-11-22 13:01,Evening,1
172.217.3.99-10.42.0.211-443-41569-6,Jinshi,29.6334,111.8746,957,5,12,7,2,4,1.8,4,251064,Bride,07-11-22 13:06,Mid Night,0
10.42.0.42-104.244.42.1-43547-80-6,Beichengqu,40.4348,113.1565,865,10,15,5,2,5,1.5,10,245608,Escalator,07-11-22 13:06,Mid Night,0
10.42.0.42-37.1.203.158-54902-443-6,Zhangping,25.2938,117.4148,7856,15,16,3,6,6,1.8,15,242000,Stairs,07-11-22 13:12,Evening,1
10.42.0.211-10.42.0.1-50730-53-17,Wuyishan,27.7562,118.0267,856,15,74,7,8,7,1.9,13,238000,Pedestrain,07-11-22 13:14,Mid Night,1
216.58.219.202-10.42.0.151-443-45918-6,Jiayuguan,39.8112,98.2862,1600,68,15,2,7,2,1.2,18,231853,Station,07-11-22 13:20,Mid Night,0
10.42.0.211-10.42.0.1-13292-53-17,Hunchun,42.8679,130.3585,852,79,13,2,5,2,1.9,22,225454,Road Vehicle Carriageway,07-11-22 13:22,Evening,0
131.253.61.98-10.42.0.151-443-43344-6,Jiƒ??an Shi,41.1231,126.1815,9568,12,18,6,8,3,1.4,28,222938,Road,07-11-22 13:25,Mid Night,0
192.229.173.173-10.42.0.211-443-37574-6,Golmud,36.4028,94.9042,7852,60,10,8,2,8,1.6,36,215214,Station,07-11-22 13:31,Mid Night,1
10.42.0.42-104.106.246.250-47586-443-6,Dongning,44.0608,131.1187,7545,80,16,7,9,10,1.8,25,210000,Platform,07-11-22 13:56,Evening,1
198.11.189.16-10.42.0.151-443-52170-6,Donghua,35.2175,106.6545,8562,89,80,5,10,5,1.7,18,189333,Lineside,07-11-22 14:02,Mid Night,1
220.243.235.201-10.42.0.211-80-48479-6,Luzhang,25.8519,98.8562,7854,78,50,8,8,6,1.3,96,184835,Road,07-11-22 14:09,Mid Night,1
10.42.0.151-119.146.74.33-59418-443-6,Longjing,42.77,129.4197,1250,86,60,2,7,8,1.2,18,180307,Other,07-11-22 14:15,Evening,1
140.205.140.87-10.42.0.151-80-58812-6,Linjiang,41.8082,126.9137,6005,90,45,9,5,9,1.6,18,173903,Footbridge,07-11-22 14:18,Mid Night,0
10.42.0.211-77.234.44.42-52200-80-6,Fenglu,24.6728,102.9149,8952,100,65,10,6,2,1.9,18,169366,Platform,07-11-22 14:33,Morning,1
10.42.0.211-64.71.142.110-41485-443-6,Kuytun,44.4196,84.9012,9500,86,25,8,5,4,1.8,39,166261,Road,07-11-22 14:39,Evening,0
10.42.0.151-10.42.0.1-34940-53-17,Fukang,44.1523,87.9793,7840,55,87,7,7,5,1.5,14,165006,Bride,07-11-22 14:59,Mid Night,0
10.42.0.151-104.97.95.172-51872-80-6,Simao,22.7807,100.9782,2256,98,56,5,5,8,1.8,19,162725,Escalator,07-11-22 15:04,Evening,0
172.217.12.142-10.42.0.151-443-43208-6,Tacheng,46.7468,82.979,4859,78,45,6,2,3,1.9,17,161037,Stairs,07-11-22 15:04,Mid Night,1
205.185.216.42-10.42.0.211-80-33454-6,Altay,47.8666,88.1166,8526,95,78,5,3,9,1.2,19,142000,Pedestrain,07-11-22 15:14,Evening,0
10.42.0.151-31.13.80.37-44486-443-6,Nongƒ??an,44.4304,125.1701,9562,15,85,7,5,2,1.9,17,141482,Station,07-11-22 15:25,Mid Night,1
172.217.12.202-10.42.0.151-443-37281-6,Yunxian Chengguanzhen,32.8082,110.8136,754,68,8,5,7,3,1.4,36,133558,Road Vehicle Carriageway,07-11-22 15:32,Mid Night,0
10.42.0.151-10.42.0.1-13564-53-17,Lucheng,30.05,101.9667,8652,45,6,2,5,2,1.6,95,130142,Road,07-11-22 15:42,Evening,1
10.42.0.211-14.204.144.142-38336-80-6,Tengyue,25.0333,98.4666,754,85,74,3,6,4,1.8,15,126058,Station,07-11-22 15:47,Mid Night,0
10.42.0.211-108.174.10.10-40804-443-6,Lianhe,47.1364,129.2859,8652,25,80,5,4,5,1.7,18,121367,Platform,07-11-22 15:52,Mid Night,1
180.149.136.194-10.42.0.211-80-52067-6,Zhijiang,27.4409,109.678,5800,36,42,7,8,6,1.3,19,113907,Lineside,07-11-22 15:53,Evening,1
172.217.12.132-10.42.0.151-443-42821-6,Kuqa,41.7277,82.9364,957,85,35,5,9,7,1.2,17,111499,Road,07-11-22 15:58,Mid Night,0
10.42.0.151-64.71.142.124-54164-443-6,Genhe,50.7833,121.5167,865,95,68,6,4,2,1.6,12,110438,Other,07-11-22 15:59,Mid Night,1
203.205.147.229-10.42.0.42-80-43120-6,Dali,34.7953,109.9378,7856,42,45,4,2,2,1.9,19,109696,Footbridge,07-11-22 16:23,Evening,0
157.240.18.35-10.42.0.211-443-59022-6,Longjiang,47.3404,123.18,856,20,75,8,5,3,1.8,19,106384,Platform,07-11-22 16:30,Mid Night,0
172.217.3.112-10.42.0.211-443-60283-6,Chongshan,18.7787,109.5117,1600,60,42,9,6,8,1.5,16,104119,Road,07-11-22 16:38,Mid Night,1
172.217.12.142-10.42.0.151-443-50582-6,Mositai,45.5266,119.6506,852,80,52,4,4,10,1.8,17,102214,Bride,07-11-22 16:42,Evening,1
202.77.129.161-10.42.0.211-80-47851-6,Boli,45.7564,130.5759,800,90,36,2,3,5,1.9,12,95260,Escalator,07-11-22 16:49,Mid Night,0
209.10.120.26-10.42.0.211-80-47475-6,Rongwo,35.5165,102.0166,750,15,42,5,2,6,1.2,16,92601,Stairs,07-11-22 17:33,Morning,1
202.77.129.54-10.42.0.151-80-40611-6,Hezuo,34.9984,102.91,999,75,20,6,3,8,1.9,14,90290,Pedestrain,07-11-22 17:36,Evening,0
172.217.11.35-10.42.0.151-443-49655-6,Wangqing,43.3248,129.7343,1200,62,30,4,5,9,1.4,18,88732,Station,07-11-22 17:45,Mid Night,1
172.217.3.97-10.42.0.211-443-53228-6,Koktokay,47.0004,89.4666,1000,43,78,3,4,2,1.6,39,80000,Road Vehicle Carriageway,07-11-22 17:55,Evening,0
174.35.73.136-10.42.0.211-80-53750-6,Linkou,45.2819,130.2519,900,84,53,2,9,4,1.8,18,77754,Road,07-11-22 17:58,Mid Night,1
10.42.0.211-10.42.0.1-52529-53-17,Eƒ??erguna,50.2411,120.172,1600,15,68,3,8,5,1.7,17,76667,Bride,07-11-22 18:00,Evening,0
10.42.0.211-69.147.82.61-52006-443-6,Tailai,46.3904,123.41,2000,19,42,5,7,8,1.3,96,75992,Escalator,07-11-22 18:06,Mid Night,0
10.42.0.211-87.240.165.91-57358-80-6,Lanxi,46.2664,126.276,6500,75,20,4,10,3,1.2,17,72528,Stairs,07-11-22 18:14,Mid Night,0
10.42.0.211-10.42.0.1-27696-53-17,Baiquan,47.6018,126.0819,5200,80,35,9,5,9,1.6,24,70472,Pedestrain,07-11-22 18:18,Evening,0
10.42.0.211-10.42.0.1-39997-53-17,Zhanggu,30.9504,101.9167,824,26,85,8,6,2,1.9,18,70000,Station,07-11-22 18:25,Mid Night,0
10.42.0.151-10.42.0.1-17103-53-17,Liuhe,42.2789,125.7173,9999,85,78,7,4,3,1.8,13,68938,Road Vehicle Carriageway,07-11-22 18:25,Mid Night,1
10.42.0.151-10.42.0.1-59777-53-17,Chengjiao Chengguanzhen,34.4362,104.0306,8560,42,57,10,2,2,1.5,19,67826,Road,07-11-22 18:29,Evening,1
10.42.0.42-13.107.3.128-47461-443-6,Qinggang,46.69,126.1,7852,38,12,5,3,4,1.8,17,64182,Station,07-11-22 18:36,Mid Night,0
10.42.0.151-10.42.0.1-50277-53-17,Gannan,47.9204,123.51,1458,64,16,6,5,5,1.9,13,59239,Platform,07-11-22 18:42,Mid Night,1
10.42.0.211-10.42.0.1-55095-53-17,Maƒ??erkang,31.9046,102.2167,1500,82,75,4,6,6,1.2,1,58437,Lineside,07-11-22 18:57,Evening,0
157.55.56.163-10.42.0.211-40027-60774-17,Suileng,47.246,127.106,800,65,42,2,8,7,1.9,4,57789,Road,07-11-22 18:59,Mid Night,1
172.217.11.42-10.42.0.151-443-56797-6,Bayan Hot,38.839,105.6686,952,75,35,3,4,2,1.4,10,56387,Other,07-11-22 19:39,Mid Night,1
8.0.6.4-8.6.0.1-0-0-0,Changling,44.27,123.99,741,25,45,5,5,2,1.6,15,55841,Footbridge,08-11-22 8:22,Evening,1
10.42.0.211-104.192.110.245-38034-80-6,Qingƒ??an,46.8719,127.5118,890,68,12,6,6,3,1.8,13,53206,Platform,08-11-22 8:31,Mid Night,1
219.142.78.162-10.42.0.211-80-49167-6,Lindong,43.9837,119.1834,900,42,15,8,8,8,1.7,18,50000,Road,08-11-22 8:35,Mid Night,1
10.42.0.151-10.42.0.1-46232-53-17,Nenjiang,49.1745,125.216,850,8,16,4,9,10,1.3,22,50000,Bride,08-11-22 8:41,Evening,0
10.42.0.151-10.42.0.1-35124-53-17,Yongƒ??an,31.0504,109.5167,9058,12,74,5,10,5,1.2,28,49168,Escalator,08-11-22 8:57,Mid Night,1
10.42.0.1-10.42.0.42-53-56066-17,Tangdukou,27,111.2001,4795,5,15,6,4,6,1.6,36,45617,Stairs,08-11-22 9:07,Mid Night,0
173.241.242.143-10.42.0.42-443-52397-6,Oroqen Zizhiqi,50.5667,123.7167,1569,10,13,8,2,8,1.9,25,40128,Pedestrain,08-11-22 9:18,Evening,1
10.42.0.211-10.42.0.1-44251-53-17,Alashankou,45.1714,82.5731,1785,15,18,9,10,9,1.8,18,40000,Bride,08-11-22 9:24,Mid Night,0
174.129.32.117-10.42.0.211-443-54243-6,Yiƒ??an,47.8804,125.3,2658,15,10,10,5,2,1.5,96,39924,Escalator,08-11-22 9:28,Mid Night,1
10.42.0.151-10.42.0.1-31951-53-17,Qarqan,38.1338,85.5333,7845,68,16,4,8,4,1.8,18,32494,Stairs,08-11-22 9:33,Evening,0
10.42.0.211-64.71.142.124-45334-443-6,Tongyangdao,41.7676,109.9711,9854,79,80,2,4,5,1.9,18,27476,Pedestrain,08-11-22 9:40,Mid Night,1
10.42.0.211-104.192.110.245-56552-80-6,Kuaidamao,41.68,125.75,4785,12,50,10,5,8,1.2,18,27227,Station,08-11-22 9:57,Mid Night,0
172.217.11.8-10.42.0.211-443-34214-6,Xinxing,47.1601,123.8,5222,60,60,5,8,3,1.9,39,24317,Road Vehicle Carriageway,08-11-22 10:07,Evening,1
10.42.0.211-108.174.10.10-54358-80-6,Hoh Ereg,41.0955,111.4408,4500,80,45,8,7,9,1.4,14,23776,Road,08-11-22 10:09,Mid Night,0
202.77.129.150-10.42.0.211-80-56645-6,Gy?¦gu,33.0166,96.7333,6800,89,65,4,5,2,1.6,19,23000,Station,08-11-22 10:13,Morning,1
172.217.12.138-10.42.0.151-443-45575-6,Qitai,41.5494,113.5339,7900,78,25,5,6,3,1.8,17,18831,Platform,08-11-22 10:15,Evening,1
182.22.25.252-10.42.0.211-443-38315-6,Yuanquan,40.5004,95.8,4200,86,87,8,4,2,1.7,19,17886,Lineside,08-11-22 10:22,Mid Night,0
172.217.7.163-10.42.0.42-443-47307-6,Gyangz?¦,28.95,89.6333,870,90,56,7,5,4,1.3,17,10000,Road,08-11-22 10:29,Evening,1
10.42.0.211-119.146.74.34-52275-80-6,Gar,32.2004,79.9833,6458,100,45,5,2,5,1.2,36,10000,Other,08-11-22 10:32,Mid Night,0
10.42.0.211-36.51.254.232-55450-443-6,Heyin,36.0451,101.4242,9852,86,78,6,3,6,1.6,95,7642,Footbridge,08-11-22 10:37,Evening,0
174.35.73.98-10.42.0.42-80-59703-6,Jinzhong,26.3504,103.4167,7854,55,5,4,5,7,1.9,15,5170,Platform,08-11-22 10:37,Mid Night,1
172.217.12.170-10.42.0.42-443-42436-6,Kailu,43.5837,121.2,9568,98,6,5,5,2,1.8,18,2809,Road,08-11-22 10:39,Mid Night,1
172.217.6.234-10.42.0.211-443-44165-6,Linxi,43.5171,118.0333,7852,78,89,2,4,2,1.5,19,679,Bride,08-11-22 10:39,Evening,0
10.42.0.211-64.71.142.124-38602-443-6,Lianhu,34.2585,108.9242,7545,65,42,3,6,3,1.8,17,,Escalator,08-11-22 10:43,Mid Night,1
10.42.0.1-10.42.0.42-53-4213-17,Binhu,32.0301,118.7577,8562,78,52,5,8,8,1.9,12,,Stairs,08-11-22 10:47,Mid Night,0
239.255.255.250-10.42.0.1-1900-54818-17,Wulaocun,32.0344,118.7958,7854,45,65,5,5,10,1.2,19,,Stairs,08-11-22 10:48,Evening,1
183.79.215.136-10.42.0.211-443-43956-6,Changning,31.2174,121.4211,1250,68,85,4,2,5,1.9,19,,Pedestrain,08-11-22 10:50,Mid Night,0
10.42.0.211-10.42.0.1-41835-53-17,Yanping,26.6381,118.1682,6005,78,32,6,2,6,1.4,16,,Station,08-11-22 11:05,Mid Night,1
216.58.219.195-10.42.0.211-443-53061-6,Dayingmen,39.1073,117.2096,8952,26,45,8,5,8,1.6,17,,Road Vehicle Carriageway,08-11-22 11:13,Evening,0
222.73.28.96-10.42.0.42-80-47431-6,Wuma,28.0173,120.6659,9500,89,68,5,3,9,1.8,12,,Road,08-11-22 11:14,Mid Night,0
172.217.10.10-10.42.0.151-443-60995-6,Liuxiang,37.8714,112.5605,7840,95,75,2,4,2,1.7,16,,Station,08-11-22 11:17,Mid Night,1
192.229.173.173-10.42.0.211-443-50767-6,Chaowai,39.9181,116.4324,2256,68,12,2,8,4,1.3,14,,Platform,08-11-22 11:23,Evening,0
180.149.153.68-10.42.0.211-80-55529-6,Hongkou,31.25,121.4892,4859,74,15,5,9,5,1.2,18,,Lineside,08-11-22 11:24,Mid Night,0
198.11.190.8-10.42.0.211-443-34132-6,Changhongjie,39.1373,117.1475,8526,12,75,3,10,8,1.6,39,,Road,08-11-22 11:29,Morning,1
172.217.6.205-10.42.0.42-443-33474-6,Huancuilou,37.5004,122.114,9562,56,62,4,3,3,1.9,18,,Other,08-11-22 11:32,Evening,1
183.79.250.123-10.42.0.211-443-60673-6,Zhangyelu,36.0575,103.8227,754,8,6,8,1,9,1.8,17,,Footbridge,08-11-22 11:37,Mid Night,0
172.217.10.46-10.42.0.42-443-58276-6,Weiyang,34.2906,108.9355,8652,9,8,9,8,2,1.5,96,,Platform,08-11-22 11:42,Evening,1
192.229.173.173-10.42.0.211-80-34842-6,Yangpu,31.2619,121.519,754,8,9,10,9,3,1.8,17,,Road,08-11-22 11:45,Mid Night,0
172.217.9.238-10.42.0.151-443-54015-6,Dongtundu,28.1837,113.0321,8652,78,8,3,10,2,1.9,24,,Bride,08-11-22 11:49,Evening,1
10.42.0.211-10.42.0.1-5941-53-17,Sanjiang,31.3481,118.3613,5800,52,75,1,7,4,1.2,18,,Escalator,08-11-22 11:52,Mid Night,1
10.42.0.211-10.42.0.1-9614-53-17,Meiyuan Xincun,32.0542,118.7928,957,50,42,8,5,5,1.9,13,,Stairs,08-11-22 12:01,Mid Night,1
10.42.0.211-10.42.0.1-45236-53-17,Jinrongjie,39.9122,116.3562,865,60,42,9,3,6,1.4,19,,Pedestrain,08-11-22 12:03,Evening,1
10.42.0.151-23.99.112.73-50417-443-6,Dongjie,26.0882,119.2945,7856,80,52,10,7,7,1.6,17,,Station,08-11-22 12:09,Mid Night,1
10.42.0.42-54.235.89.91-55614-443-6,Gulou,26.0865,119.298,856,90,85,7,2,2,1.8,13,,Road Vehicle Carriageway,08-11-22 12:12,Mid Night,0
10.42.0.211-10.42.0.1-42328-53-17,Nanchansi,31.5624,120.3002,1600,45,75,5,2,2,1.7,1,,Road,08-11-22 12:14,Evening,1
205.204.101.47-10.42.0.211-443-36012-6,Xihu,36.0673,103.7765,852,74,25,3,6,3,1.3,4,,Bride,08-11-22 12:17,Mid Night,0
221.228.208.94-10.42.0.211-80-48795-6,Haidian,39.9906,116.2887,8652,82,8,7,8,8,1.2,10,,Escalator,08-11-22 12:23,Mid Night,0
10.42.0.151-31.13.80.52-49298-80-6,Gulou,40.37,116.8335,7854,68,9,2,7,10,1.6,15,,Stairs,08-11-22 12:26,Evening,0
10.42.0.211-106.11.92.14-48874-443-6,Xiaobailou,39.1177,117.2056,6895,13,16,2,5,5,1.9,13,,Pedestrain,08-11-22 12:27,Mid Night,1
172.217.10.138-10.42.0.151-443-44865-6,Xuhui,31.1959,121.4471,7526,18,75,6,8,6,1.8,18,,Station,08-11-22 12:28,Mid Night,0
182.22.67.73-10.42.0.42-443-43978-6,Pingjianglu,31.3147,120.6298,8566,85,12,8,2,8,1.5,22,,Road Vehicle Carriageway,08-11-22 12:36,Evening,1
10.42.0.42-36.110.213.49-44115-443-6,Xincheng,34.2632,108.9495,7856,48,16,7,9,9,1.8,28,,Road,08-11-22 12:39,Mid Night,0
10.42.0.211-31.13.80.5-39488-443-6,Chongƒ??ansi,31.5799,120.2952,1235,85,80,5,10,2,1.9,36,,Station,08-11-22 12:44,Morning,1
205.204.101.182-10.42.0.211-443-55483-6,Chikan,21.2712,110.3591,6587,68,45,8,8,4,1.2,25,,Platform,08-11-22 12:47,Evening,0
192.229.173.173-10.42.0.42-80-41802-6,Luwan,31.2091,121.4634,4598,78,75,2,7,5,1.9,18,,Lineside,08-11-22 12:52,Mid Night,1
10.42.0.1-10.42.0.42-53-47987-17,Rongjiang,25.6625,114.7503,6895,95,56,9,5,8,1.4,96,,Road,08-11-22 12:53,Evening,1
10.42.0.211-52.86.66.242-33819-443-6,Beidajie,31.5853,120.29,2568,84,10,10,6,3,1.6,18,,Other,08-11-22 13:06,Mid Night,0
211.236.244.151-10.42.0.211-80-47907-6,Fengxian,30.9187,121.4566,7586,12,20,8,5,9,1.8,18,,Footbridge,08-11-22 13:10,Evening,1
172.217.6.193-10.42.0.151-443-36782-6,Wanghailou,39.1595,117.2034,2356,56,25,7,7,2,1.7,18,,Platform,08-11-22 13:16,Mid Night,0
239.255.255.250-10.42.0.1-1900-59751-17,Gongchen,39.728,116.1376,1500,78,65,5,5,3,1.3,39,,Road,08-11-22 13:17,Mid Night,0
172.217.10.240-10.42.0.151-443-35261-6,Beijie,39.2226,106.7658,6895,10,38,6,2,2,1.2,14,,Bride,08-11-22 13:22,Evening,1
10.42.0.211-10.42.0.1-52771-53-17,Xingguo,26.3261,115.3472,8000,60,75,5,3,4,1.6,19,,Escalator,08-11-22 13:23,Mid Night,1
180.163.255.159-10.42.0.151-443-43620-6,Acheng,45.5455,126.977,5489,86,45,7,5,5,1.9,17,,Stairs,08-11-22 13:24,Mid Night,0
180.149.134.221-10.42.0.42-80-48136-6,Tiexi,47.3119,130.2803,6358,35,12,5,7,6,1.8,19,,Pedestrain,08-11-22 13:28,Evening,1
10.42.0.42-101.251.204.126-34190-80-6,Xingfulu,43.7825,87.6368,7854,85,10,2,5,7,1.5,17,,Bride,08-11-22 13:32,Mid Night,0
162.208.22.39-10.42.0.211-443-58906-6,Beijinglu,31.3227,118.3851,6000,95,28,3,6,2,1.8,36,,Escalator,08-11-22 13:53,Mid Night,1
10.42.0.211-104.94.222.37-36014-80-6,Dawangzhuang,39.127,117.2162,5682,26,75,5,4,2,1.9,95,,Stairs,08-11-22 13:53,Evening,0
10.42.0.42-119.146.74.49-41594-80-6,Shuangta,31.3041,120.6297,5800,85,63,7,8,3,1.2,15,,Pedestrain,08-11-22 14:02,Mid Night,1
172.217.12.138-10.42.0.151-443-48744-6,Tianjiao,39.8255,109.9995,9568,32,42,5,9,8,1.9,18,,Station,08-11-22 14:03,Mid Night,0
173.241.242.143-10.42.0.211-443-42322-6,Nanjin,29.985,106.2653,8954,42,85,6,4,10,1.4,19,,Road Vehicle Carriageway,08-11-22 14:18,Evening,0
10.42.0.211-23.206.166.66-37357-80-6,Jianshelu,34.7534,113.606,4500,30,8,4,2,5,1.6,17,,Road,08-11-22 14:22,Mid Night,0
10.42.0.151-10.42.0.1-22886-53-17,Dayu,39.9375,116.0967,6580,80,6,8,5,6,1.8,12,,Station,08-11-22 14:32,Mid Night,0
10.42.0.42-106.11.94.21-41188-443-6,Xiling,30.7161,111.2839,856,45,74,9,6,8,1.7,19,,Platform,08-11-22 14:33,Evening,0
10.42.0.211-112.73.28.70-55341-80-6,Qianfeng,37.8494,112.5208,950,98,80,4,4,9,1.3,19,,Lineside,08-11-22 14:36,Mid Night,1
10.42.0.211-10.42.0.1-53499-53-17,Nanjie,35.7356,107.6353,1205,50,42,2,3,2,1.2,16,,Road,08-11-22 14:45,Mid Night,1
202.77.129.146-10.42.0.211-80-46448-6,Louqiao,28.0106,120.6322,3586,80,35,5,2,4,1.6,17,,Other,08-11-22 14:49,Evening,0
10.42.0.151-10.42.0.1-39587-53-17,Shilu,31.3117,120.5941,5266,75,68,6,3,5,1.9,12,,Footbridge,08-11-22 15:03,Mid Night,0
8.0.6.4-8.6.0.1-0-0-0,Shuangling,28.0248,120.6021,8540,68,45,4,5,8,1.8,16,,Platform,08-11-22 15:18,Mid Night,0
10.42.0.211-10.42.0.1-37573-53-17,Sanyuan Chengguanzhen,34.6147,108.9283,9650,45,75,3,4,3,1.5,14,,Road,08-11-22 15:40,Evening,1
172.217.6.202-10.42.0.42-443-44960-6,Jinling,34.3693,107.15,8750,25,42,2,9,9,1.8,18,,Bride,08-11-22 15:44,Mid Night,1
10.42.0.151-10.42.0.1-46431-53-17,Chenghua,23.4613,116.7701,9862,15,52,3,8,2,1.9,39,,Escalator,08-11-22 15:48,Mid Night,1
10.42.0.42-23.206.125.17-53285-80-6,Shiqiao,22.9464,113.3577,4856,13,36,5,7,3,1.2,18,,Stairs,08-11-22 15:54,Evening,1
172.217.3.35-10.42.0.211-80-51157-6,Chengbei,40.223,116.2458,5500,65,42,4,10,2,1.9,17,,Pedestrain,08-11-22 15:58,Mid Night,1
180.149.139.248-10.42.0.211-443-57135-6,Jianchang,27.5583,116.6398,9568,8,20,9,5,4,1.4,96,,Bride,08-11-22 16:07,Morning,0
10.42.0.42-40.117.145.132-51870-443-6,Jingshan,39.9253,116.4041,7852,7,30,8,6,5,1.6,17,,Escalator,08-11-22 16:09,Evening,1
172.217.10.130-10.42.0.151-443-50466-6,Zhanqian,46.8001,130.3755,6253,5,78,7,4,6,1.8,24,,Stairs,08-11-22 16:13,Mid Night,0
222.73.28.96-10.42.0.211-80-36867-6,Julun,37.9074,112.5577,8500,6,53,10,2,7,1.7,18,,Pedestrain,08-11-22 16:18,Evening,1
158.85.58.112-10.42.0.211-443-58979-6,Qingyang,37.4958,121.2581,4200,62,68,5,3,2,1.3,13,,Station,08-11-22 16:20,Mid Night,0
172.217.12.206-10.42.0.151-443-58997-6,Zhifang,30.35,114.3167,2568,82,42,6,5,2,1.2,19,,Road Vehicle Carriageway,08-11-22 16:24,Evening,1
10.42.0.151-10.42.0.1-44945-53-17,Leicheng,20.9156,110.0837,800,95,20,4,6,3,1.6,17,,Road,08-11-22 16:30,Mid Night,0
